host_species,host_species_md,genus,coral_uid,month_bin,taxon,count,present,taxon_label
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,8,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,8,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,9,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,9,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,11,trapezia,0,0,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,11,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,12,trapezia,0,0,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,12,alpheus,2,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,14,trapezia,0,0,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,14,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,16,trapezia,0,0,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,16,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,18,trapezia,0,0,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,18,alpheus,1,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,19,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,19,alpheus,0,0,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,21,trapezia,2,1,*Trapezia*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,21,alpheus,2,1,*Alpheus*
Pocillopora favosa,*Pocillopora favosa*,Pocillopora,12Pd5_control_unified,22,trapezia,2,1,*Trapezia*
