coral_uid,host_species,host_species_md,cohort_label,taxon,taxon_label,n_months,n_present,total_count,metric,value
12Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,30,Occurrence,0.8823529411764706
12Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,30,Mean abundance,1.7647058823529411
12Sp3_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,15,30,Intensity,2
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,Occurrence,0
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,Mean abundance,0
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,9,0,0,Intensity,NA
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,5,9,Occurrence,0.5555555555555556
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,5,9,Mean abundance,1
12Sp3_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,9,5,9,Intensity,1.8
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,13,0,0,Occurrence,0
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,13,0,0,Mean abundance,0
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,13,0,0,Intensity,NA
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,13,8,16,Occurrence,0.6153846153846154
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,13,8,16,Mean abundance,1.2307692307692308
12Sp4_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,13,8,16,Intensity,2
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,7,0,0,Occurrence,0
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,7,0,0,Mean abundance,0
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,7,0,0,Intensity,NA
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,7,6,11,Occurrence,0.8571428571428571
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,7,6,11,Mean abundance,1.5714285714285714
12Sp5_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,7,6,11,Intensity,1.8333333333333333
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,Occurrence,0
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,Mean abundance,0
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,17,0,0,Intensity,NA
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,14,28,Occurrence,0.8235294117647058
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,14,28,Mean abundance,1.6470588235294117
12Sp6_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,17,14,28,Intensity,2
12Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,7,0,0,Occurrence,0
12Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,7,0,0,Mean abundance,0
12Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,7,0,0,Intensity,NA
12Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,7,7,17,Occurrence,1
12Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,7,7,17,Mean abundance,2.4285714285714284
12Sp6_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,7,7,17,Intensity,2.4285714285714284
12Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,16,0,0,Occurrence,0
12Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,16,0,0,Mean abundance,0
12Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,alpheus,*Alpheus*,16,0,0,Intensity,NA
12Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,16,13,26,Occurrence,0.8125
12Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,16,13,26,Mean abundance,1.625
12Sp7_control_T1,Stylophora pistillata,*Stylophora pistillata*,N1,trapezia,*Trapezia*,16,13,26,Intensity,2
12Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,2,0,0,Occurrence,0
12Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,2,0,0,Mean abundance,0
12Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,alpheus,*Alpheus*,2,0,0,Intensity,NA
12Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,2,2,4,Occurrence,1
12Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,2,2,4,Mean abundance,2
12Sp7_control_T2,Stylophora pistillata,*Stylophora pistillata*,N2,trapezia,*Trapezia*,2,2,4,Intensity,2
13Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,2,0,0,Occurrence,0
13Pd1_control_T1,Pocillopora favosa,*Pocillopora favosa*,N1,alpheus,*Alpheus*,2,0,0,Mean abundance,0
